Dia;Mes;Año;Temperatura media;Humedad media;Rocío medio;Presión media;Velocidad media;Racha media;Dirección media;Precipitación mensual;Precipitación anual;Intensidad máxima por minuto;Temperatura máxima;Temperatura mínima;Humedad máxima;Humedad mínima;Presión máxima;Presión mínima;Velocidad media máxima;Racha máxima
14;Diciembre;2018;6.6°C;71%;1.7°C;1021.7 hPa;6.8 km/h;13.3 km/h;286° (ONO);9.0 mm;112.8 mm;0.0 mm el 14 a las 23:59;9.6°C el 14 a las 15:05;4.2°C el 14 a las 23:59;79% el 14 a las 23:59;59% el 14 a las 15:39;1026.1 hPa el 14 a las 22:46;1015.2 hPa el 14 a las 00:24;20.4 km/h el 14 a las 01:02;33.3 km/h  del 275°(O) el 14 a las 10:54
15;Diciembre;2018;5.7°C;87%;3.8°C;1026.5 hPa;0.2 km/h;1.2 km/h;245° (OSO);9.0 mm;112.8 mm;0.0 mm el 15 a las 23:59;10.4°C el 15 a las 14:36;0.7°C el 15 a las 08:32;98% el 15 a las 08:55;76% el 15 a las 14:36;1028.8 hPa el 15 a las 11:32;1025.0 hPa el 15 a las 23:58;7.4 km/h el 15 a las 22:59;18.5 km/h  del 163°(SSE) el 15 a las 22:58
16;Diciembre;2018;8.7°C;85%;6.2°C;1022.0 hPa;2.5 km/h;7.4 km/h;213° (SSO);9.4 mm;113.2 mm;0.2 mm el 16 a las 11:54;12.2°C el 16 a las 16:30;5.4°C el 16 a las 23:59;95% el 16 a las 12:56;62% el 16 a las 19:05;1026.9 hPa el 16 a las 23:59;1019.2 hPa el 16 a las 14:25;18.5 km/h el 16 a las 19:00;38.9 km/h  del 279°(O) el 16 a las 18:54
17;Diciembre;2018;5.1°C;77%;1.2°C;1028.9 hPa;0.2 km/h;1.0 km/h;194° (SSO);9.4 mm;113.2 mm;0.0 mm el 17 a las 23:59;10.2°C el 17 a las 14:27;0.4°C el 17 a las 09:28;91% el 17 a las 09:56;59% el 17 a las 15:16;1031.2 hPa el 17 a las 11:11;1026.7 hPa el 17 a las 01:36;7.4 km/h el 17 a las 14:32;16.7 km/h  del 266°(O) el 17 a las 01:53
18;Diciembre;2018;3.7°C;85%;1.4°C;1025.4 hPa;0.0 km/h;0.2 km/h;128° (SE);9.6 mm;113.4 mm;0.2 mm el 18 a las 23:52;7.5°C el 18 a las 14:45;-0.1°C el 18 a las 05:09;94% el 18 a las 01:23;72% el 18 a las 15:21;1029.4 hPa el 18 a las 00:56;1022.8 hPa el 18 a las 22:09;3.7 km/h el 18 a las 11:42;7.4 km/h  del 128°(SE) el 18 a las 14:48
19;Diciembre;2018;5.9°C;91%;4.6°C;1023.9 hPa;0.8 km/h;2.5 km/h;161° (SSE);10.0 mm;113.8 mm;0.2 mm el 19 a las 01:55;9.3°C el 19 a las 15:32;4.2°C el 19 a las 09:39;99% el 19 a las 10:43;78% el 19 a las 15:34;1025.6 hPa el 19 a las 23:59;1021.9 hPa el 19 a las 05:21;14.8 km/h el 19 a las 15:30;22.2 km/h  del 159°(SSE) el 19 a las 15:50
20;Diciembre;2018;6.9°C;92%;5.6°C;1027.5 hPa;0.2 km/h;0.8 km/h;174° (S);10.0 mm;113.8 mm;0.0 mm el 20 a las 23:59;10.3°C el 20 a las 15:12;4.7°C el 20 a las 03:19;100% el 20 a las 04:47;80% el 20 a las 14:37;1031.0 hPa el 20 a las 23:37;1025.0 hPa el 20 a las 02:41;7.4 km/h el 20 a las 16:34;14.8 km/h  del 168°(SSE) el 20 a las 13:20
21;Diciembre;2018;6.9°C;92%;5.7°C;1032.5 hPa;0.0 km/h;0.1 km/h;168° (SSE);10.2 mm;114.0 mm;0.2 mm el 21 a las 16:17;8.3°C el 21 a las 17:22;4.6°C el 21 a las 07:59;97% el 21 a las 08:34;87% el 21 a las 16:16;1034.2 hPa el 21 a las 12:08;1030.2 hPa el 21 a las 02:48;3.7 km/h el 21 a las 12:46;7.4 km/h  del 175°(S) el 21 a las 16:37
22;Diciembre;2018;7.3°C;91%;6.0°C;1033.1 hPa;0.0 km/h;0.1 km/h;176° (S);10.2 mm;114.0 mm;0.0 mm el 22 a las 23:59;8.6°C el 22 a las 15:25;5.7°C el 22 a las 23:59;95% el 22 a las 23:59;87% el 22 a las 15:37;1034.4 hPa el 22 a las 11:34;1032.3 hPa el 22 a las 16:33;0.0 km/h el 22 a las 23:59;5.6 km/h  del 177°(S) el 22 a las 19:10
23;Diciembre;2018;6.0°C;93%;4.9°C;1032.0 hPa;0.0 km/h;0.1 km/h;185° (S);10.2 mm;114.0 mm;0.0 mm el 23 a las 23:59;11.4°C el 23 a las 16:50;3.3°C el 23 a las 23:59;97% el 23 a las 14:31;77% el 23 a las 16:31;1034.0 hPa el 23 a las 11:10;1030.8 hPa el 23 a las 17:50;1.9 km/h el 23 a las 11:58;7.4 km/h  del 183°(S) el 23 a las 11:51
24;Diciembre;2018;5.8°C;84%;3.1°C;1030.5 hPa;0.0 km/h;0.1 km/h;194° (SSO);10.4 mm;114.2 mm;0.2 mm el 24 a las 03:49;14.2°C el 24 a las 16:53;0.1°C el 24 a las 08:47;96% el 24 a las 11:42;52% el 24 a las 16:11;1032.4 hPa el 24 a las 11:22;1028.7 hPa el 24 a las 19:26;3.7 km/h el 24 a las 12:22;7.4 km/h  del 199°(SSO) el 24 a las 12:49
25;Diciembre;2018;7.1°C;75%;2.6°C;1028.8 hPa;0.0 km/h;0.0 km/h;200° (SSO);10.4 mm;114.2 mm;0.0 mm el 25 a las 23:59;15.3°C el 25 a las 15:38;2.6°C el 25 a las 06:23;92% el 25 a las 01:49;46% el 25 a las 15:43;1030.2 hPa el 25 a las 23:58;1027.0 hPa el 25 a las 14:40;0.0 km/h el 25 a las 23:59;5.6 km/h  del 199°(SSO) el 25 a las 14:45
26;Diciembre;2018;6.5°C;79%;2.9°C;1029.3 hPa;0.0 km/h;0.1 km/h;200° (SSO);10.4 mm;114.2 mm;0.0 mm el 26 a las 23:59;13.0°C el 26 a las 15:00;2.5°C el 26 a las 09:38;91% el 26 a las 10:08;58% el 26 a las 16:21;1031.0 hPa el 26 a las 10:55;1028.1 hPa el 26 a las 18:17;3.7 km/h el 26 a las 15:40;7.4 km/h  del 199°(SSO) el 26 a las 15:39
27;Diciembre;2018;4.9°C;86%;2.6°C;1028.1 hPa;0.0 km/h;0.2 km/h;198° (SSO);10.6 mm;114.4 mm;0.2 mm el 27 a las 11:36;12.4°C el 27 a las 15:38;0.3°C el 27 a las 07:49;98% el 27 a las 05:00;65% el 27 a las 16:06;1029.4 hPa el 27 a las 10:35;1026.6 hPa el 27 a las 16:57;3.7 km/h el 27 a las 16:21;7.4 km/h  del 196°(SSO) el 27 a las 16:34
28;Diciembre;2018;5.3°C;80%;1.7°C;1028.5 hPa;0.0 km/h;0.3 km/h;223° (SO);10.8 mm;114.6 mm;0.2 mm el 28 a las 10:21;12.6°C el 28 a las 15:49;0.0°C el 28 a las 09:09;98% el 28 a las 08:33;52% el 28 a las 15:36;1030.3 hPa el 28 a las 23:51;1027.3 hPa el 28 a las 01:03;3.7 km/h el 28 a las 15:18;11.1 km/h  del 350°(N) el 28 a las 13:56
29;Diciembre;2018;5.5°C;79%;1.8°C;1030.0 hPa;0.2 km/h;0.9 km/h;9° (N);10.8 mm;114.6 mm;0.0 mm el 29 a las 23:59;12.1°C el 29 a las 15:57;0.4°C el 29 a las 08:54;95% el 29 a las 10:31;55% el 29 a las 16:35;1031.2 hPa el 29 a las 21:44;1028.9 hPa el 29 a las 14:52;5.6 km/h el 29 a las 13:20;20.4 km/h  del 355°(N) el 29 a las 12:42
30;Diciembre;2018;6.0°C;66%;-0.4°C;1030.8 hPa;0.0 km/h;0.4 km/h;20° (NNE);10.8 mm;114.6 mm;0.0 mm el 30 a las 23:59;15.6°C el 30 a las 15:41;-0.2°C el 30 a las 07:41;85% el 30 a las 07:52;34% el 30 a las 16:40;1032.5 hPa el 30 a las 09:52;1029.3 hPa el 30 a las 15:21;1.9 km/h el 30 a las 14:27;9.3 km/h  del 023°(NNE) el 30 a las 13:14
31;Diciembre;2018;5.7°C;59%;-2.4°C;1031.8 hPa;0.1 km/h;0.3 km/h;62° (ENE);10.8 mm;114.6 mm;0.0 mm el 31 a las 23:57;16.2°C el 31 a las 15:40;-0.8°C el 31 a las 07:40;77% el 31 a las 02:13;30% el 31 a las 13:05;1033.7 hPa el 31 a las 09:54;1030.6 hPa el 31 a las 16:27;7.4 km/h el 31 a las 15:45;9.3 km/h  del 122°(ESE) el 31 a las 15:44
1;Enero;2019;2.9°C;72%;-1.7°C;1032.0 hPa;0.0 km/h;0.0 km/h;123° (ESE);0.0 mm;0.0 mm;0.0 mm el 01 a las 00:00;11.6°C el 01 a las 18:01;-1.7°C el 01 a las 08:08;86% el 01 a las 09:22;44% el 01 a las 12:37;1033.2 hPa el 01 a las 10:32;1031.2 hPa el 01 a las 06:34;0.0 km/h el 01 a las 00:00;5.6 km/h  del 123°(ESE) el 01 a las 18:22
2;Enero;2019;4.0°C;71%;-1.4°C;1029.6 hPa;0.0 km/h;0.1 km/h;125° (SE);0.0 mm;0.0 mm;0.0 mm el 02 a las 23:59;14.0°C el 02 a las 15:39;-2.7°C el 02 a las 09:22;91% el 02 a las 04:17;34% el 02 a las 15:51;1032.0 hPa el 02 a las 01:01;1027.2 hPa el 02 a las 16:12;1.9 km/h el 02 a las 16:26;7.4 km/h  del 128°(SE) el 02 a las 16:25
3;Enero;2019;5.1°C;61%;-2.2°C;1029.0 hPa;0.0 km/h;0.3 km/h;128° (SE);0.0 mm;0.0 mm;0.0 mm el 03 a las 23:59;13.1°C el 03 a las 15:15;-0.5°C el 03 a las 09:18;78% el 03 a las 03:06;35% el 03 a las 15:03;1030.4 hPa el 03 a las 22:46;1027.8 hPa el 03 a las 14:37;3.7 km/h el 03 a las 15:11;9.3 km/h  del 128°(SE) el 03 a las 15:08
4;Enero;2019;4.2°C;70%;-1.4°C;1031.2 hPa;0.0 km/h;0.0 km/h;129° (SE);0.0 mm;0.0 mm;0.0 mm el 04 a las 23:59;13.4°C el 04 a las 15:48;-1.8°C el 04 a las 09:18;92% el 04 a las 07:49;38% el 04 a las 16:37;1033.3 hPa el 04 a las 23:04;1029.4 hPa el 04 a las 06:04;3.7 km/h el 04 a las 14:58;7.4 km/h  del 129°(SE) el 04 a las 14:57
5;Enero;2019;3.8°C;71%;-1.7°C;1033.8 hPa;0.0 km/h;0.1 km/h;129° (SE);0.0 mm;0.0 mm;0.0 mm el 05 a las 23:59;13.9°C el 05 a las 15:37;-2.6°C el 05 a las 09:22;92% el 05 a las 08:09;39% el 05 a las 15:36;1035.8 hPa el 05 a las 10:16;1032.6 hPa el 05 a las 17:37;3.7 km/h el 05 a las 16:29;7.4 km/h  del 130°(SE) el 05 a las 16:29
6;Enero;2019;4.8°C;64%;-2.5°C;1031.6 hPa;0.0 km/h;0.1 km/h;130° (SE);0.0 mm;0.0 mm;0.0 mm el 06 a las 23:59;14.9°C el 06 a las 16:36;-3.4°C el 06 a las 09:10;92% el 06 a las 03:47;28% el 06 a las 16:51;1033.8 hPa el 06 a las 00:00;1029.6 hPa el 06 a las 17:19;3.7 km/h el 06 a las 12:52;7.4 km/h  del 130°(SE) el 06 a las 13:33
7;Enero;2019;5.4°C;49%;-5.1°C;1030.0 hPa;0.1 km/h;0.3 km/h;128° (SE);0.0 mm;0.0 mm;0.0 mm el 07 a las 23:59;15.9°C el 07 a las 15:19;-2.1°C el 07 a las 09:17;69% el 07 a las 09:51;25% el 07 a las 17:16;1031.3 hPa el 07 a las 11:46;1028.3 hPa el 07 a las 15:01;7.4 km/h el 07 a las 15:28;14.8 km/h  del 127°(SE) el 07 a las 15:27
8;Enero;2019;5.0°C;56%;-3.6°C;1029.6 hPa;0.0 km/h;0.1 km/h;141° (SE);0.0 mm;0.0 mm;0.0 mm el 08 a las 23:59;14.1°C el 08 a las 15:51;-1.2°C el 08 a las 09:08;74% el 08 a las 09:17;28% el 08 a las 15:22;1032.0 hPa el 08 a las 11:31;1027.2 hPa el 08 a las 23:58;5.6 km/h el 08 a las 21:45;9.3 km/h  del 167°(SSE) el 08 a las 21:52
9;Enero;2019;6.1°C;65%;-0.4°C;1022.9 hPa;0.1 km/h;0.3 km/h;176° (S);0.0 mm;0.0 mm;0.0 mm el 09 a las 23:59;13.8°C el 09 a las 15:52;0.1°C el 09 a las 07:23;83% el 09 a las 09:35;36% el 09 a las 16:41;1027.2 hPa el 09 a las 00:06;1019.5 hPa el 09 a las 22:07;5.6 km/h el 09 a las 13:24;7.4 km/h  del 188°(S) el 09 a las 15:51
10;Enero;2019;3.0°C;67%;-3.1°C;1021.3 hPa;0.2 km/h;1.1 km/h;289° (ONO);0.0 mm;0.0 mm;0.0 mm el 10 a las 23:59;9.3°C el 10 a las 15:43;-2.5°C el 10 a las 08:31;89% el 10 a las 10:01;40% el 10 a las 17:15;1024.4 hPa el 10 a las 23:59;1019.1 hPa el 10 a las 06:48;5.6 km/h el 10 a las 13:27;11.1 km/h  del 015°(NNE) el 10 a las 15:56
11;Enero;2019;1.5°C;62%;-5.3°C;1026.9 hPa;0.1 km/h;0.3 km/h;332° (NNO);0.0 mm;0.0 mm;0.0 mm el 11 a las 23:59;7.6°C el 11 a las 15:34;-3.4°C el 11 a las 09:08;76% el 11 a las 23:58;40% el 11 a las 15:30;1030.0 hPa el 11 a las 23:59;1024.1 hPa el 11 a las 00:39;3.7 km/h el 11 a las 15:45;7.4 km/h  del 296°(ONO) el 11 a las 15:56
12;Enero;2019;2.4°C;71%;-2.5°C;1030.5 hPa;0.0 km/h;0.2 km/h;281° (O);0.0 mm;0.0 mm;0.0 mm el 12 a las 23:59;9.7°C el 12 a las 15:20;-3.0°C el 12 a las 08:08;91% el 12 a las 08:00;50% el 12 a las 15:41;1032.1 hPa el 12 a las 11:41;1029.4 hPa el 12 a las 17:00;5.6 km/h el 12 a las 13:37;9.3 km/h  del 299°(ONO) el 12 a las 11:52
13;Enero;2019;3.2°C;75%;-1.1°C;1029.2 hPa;0.0 km/h;0.1 km/h;256° (OSO);0.0 mm;0.0 mm;0.0 mm el 13 a las 23:59;12.2°C el 13 a las 15:53;-3.4°C el 13 a las 09:06;92% el 13 a las 10:13;46% el 13 a las 16:19;1031.2 hPa el 13 a las 10:08;1027.0 hPa el 13 a las 23:58;3.7 km/h el 13 a las 15:04;7.4 km/h  del 253°(OSO) el 13 a las 15:55
14;Enero;2019;5.5°C;74%;0.8°C;1024.3 hPa;0.1 km/h;0.5 km/h;210° (SSO);0.0 mm;0.0 mm;0.0 mm el 14 a las 23:59;15.1°C el 14 a las 14:55;-1.3°C el 14 a las 07:58;91% el 14 a las 08:54;48% el 14 a las 15:30;1027.1 hPa el 14 a las 00:14;1021.8 hPa el 14 a las 19:38;5.6 km/h el 14 a las 15:27;9.3 km/h  del 129°(SE) el 14 a las 15:25
15;Enero;2019;5.8°C;68%;-0.2°C;1021.2 hPa;0.0 km/h;0.3 km/h;123° (ESE);0.0 mm;0.0 mm;0.0 mm el 15 a las 23:59;14.2°C el 15 a las 15:24;0.2°C el 15 a las 04:44;89% el 15 a las 08:42;38% el 15 a las 15:30;1022.7 hPa el 15 a las 11:01;1019.5 hPa el 15 a las 15:26;1.9 km/h el 15 a las 16:50;9.3 km/h  del 119°(ESE) el 15 a las 16:17
16;Enero;2019;3.8°C;80%;0.5°C;1019.2 hPa;0.2 km/h;1.1 km/h;139° (SE);0.0 mm;0.0 mm;0.0 mm el 16 a las 23:59;10.4°C el 16 a las 15:35;-1.7°C el 16 a las 07:50;92% el 16 a las 10:05;59% el 16 a las 14:15;1021.0 hPa el 16 a las 00:15;1017.5 hPa el 16 a las 16:17;9.3 km/h el 16 a las 15:41;18.5 km/h  del 158°(SSE) el 16 a las 15:41
17;Enero;2019;4.1°C;87%;2.1°C;1019.2 hPa;0.0 km/h;0.1 km/h;168° (SSE);0.0 mm;0.0 mm;0.0 mm el 17 a las 23:59;7.9°C el 17 a las 16:43;0.9°C el 17 a las 23:59;93% el 17 a las 02:49;72% el 17 a las 17:30;1021.9 hPa el 17 a las 23:57;1017.8 hPa el 17 a las 06:09;1.9 km/h el 17 a las 14:58;5.6 km/h  del 168°(SSE) el 17 a las 14:57
18;Enero;2019;2.2°C;81%;-1.0°C;1020.5 hPa;0.1 km/h;0.7 km/h;190° (S);0.2 mm;0.2 mm;0.2 mm el 18 a las 10:28;8.2°C el 18 a las 15:12;-2.3°C el 18 a las 06:04;93% el 18 a las 10:23;56% el 18 a las 16:15;1022.6 hPa el 18 a las 10:57;1018.6 hPa el 18 a las 20:56;7.4 km/h el 18 a las 15:12;18.5 km/h  del 159°(SSE) el 18 a las 14:39
19;Enero;2019;1.4°C;91%;0.1°C;1016.5 hPa;0.1 km/h;0.7 km/h;212° (SSO);4.2 mm;4.2 mm;0.2 mm el 19 a las 20:43;4.4°C el 19 a las 14:35;-2.8°C el 19 a las 08:32;99% el 19 a las 10:40;81% el 19 a las 00:08;1019.8 hPa el 19 a las 00:12;1010.8 hPa el 19 a las 23:41;5.6 km/h el 19 a las 19:23;14.8 km/h  del 166°(SSE) el 19 a las 21:40
20;Enero;2019;5.2°C;81%;1.9°C;1013.9 hPa;1.5 km/h;2.4 km/h;290° (ONO);5.6 mm;5.6 mm;0.2 mm el 20 a las 01:32;9.7°C el 20 a las 13:34;1.7°C el 20 a las 22:44;96% el 20 a las 10:28;56% el 20 a las 13:35;1019.4 hPa el 20 a las 23:58;1009.3 hPa el 20 a las 04:59;18.5 km/h el 20 a las 16:41;25.9 km/h  del 316°(NO) el 20 a las 16:05
21;Enero;2019;3.9°C;71%;-1.2°C;1021.3 hPa;0.4 km/h;1.3 km/h;295° (ONO);5.6 mm;5.6 mm;0.0 mm el 21 a las 23:59;10.7°C el 21 a las 15:47;-0.5°C el 21 a las 06:29;91% el 21 a las 08:21;43% el 21 a las 16:18;1022.8 hPa el 21 a las 22:40;1019.3 hPa el 21 a las 00:01;11.1 km/h el 21 a las 17:19;18.5 km/h  del 315°(NO) el 21 a las 17:18
22;Enero;2019;4.0°C;79%;0.6°C;1017.5 hPa;2.4 km/h;5.3 km/h;281° (O);7.2 mm;7.2 mm;0.2 mm el 22 a las 23:04;7.8°C el 22 a las 14:17;-0.8°C el 22 a las 04:01;92% el 22 a las 23:56;64% el 22 a las 13:39;1022.5 hPa el 22 a las 00:13;1013.3 hPa el 22 a las 23:08;18.5 km/h el 22 a las 15:08;33.3 km/h  del 273°(O) el 22 a las 14:52
23;Enero;2019;9.7°C;69%;4.1°C;1009.1 hPa;8.1 km/h;15.5 km/h;283° (ONO);7.2 mm;7.2 mm;0.0 mm el 23 a las 23:59;12.8°C el 23 a las 14:40;4.6°C el 23 a las 00:10;92% el 23 a las 00:39;57% el 23 a las 14:27;1013.5 hPa el 23 a las 00:25;1007.4 hPa el 23 a las 23:12;25.9 km/h el 23 a las 23:34;40.7 km/h  del 284°(ONO) el 23 a las 23:33
24;Enero;2019;12.1°C;63%;5.2°C;1009.4 hPa;9.9 km/h;17.1 km/h;290° (ONO);7.2 mm;7.2 mm;0.0 mm el 24 a las 23:59;15.5°C el 24 a las 14:36;8.0°C el 24 a las 23:25;79% el 24 a las 23:53;52% el 24 a las 14:44;1014.2 hPa el 24 a las 23:59;1006.8 hPa el 24 a las 07:04;27.8 km/h el 24 a las 07:09;42.6 km/h  del 281°(O) el 24 a las 07:08
25;Enero;2019;9.7°C;65%;2.9°C;1017.6 hPa;0.2 km/h;1.1 km/h;10° (N);7.2 mm;7.2 mm;0.0 mm el 25 a las 23:59;15.7°C el 25 a las 15:48;4.6°C el 25 a las 23:59;88% el 25 a las 06:28;39% el 25 a las 17:24;1020.7 hPa el 25 a las 23:53;1014.2 hPa el 25 a las 00:01;5.6 km/h el 25 a las 14:06;16.7 km/h  del 038°(NE) el 25 a las 13:38
26;Enero;2019;5.8°C;75%;1.4°C;1020.0 hPa;0.1 km/h;0.5 km/h;105° (ESE);7.2 mm;7.2 mm;0.0 mm el 26 a las 23:59;13.6°C el 26 a las 15:40;-0.9°C el 26 a las 09:05;93% el 26 a las 09:54;53% el 26 a las 15:55;1022.1 hPa el 26 a las 12:08;1016.9 hPa el 26 a las 23:38;7.4 km/h el 26 a las 16:05;14.8 km/h  del 157°(SSE) el 26 a las 16:04
27;Enero;2019;7.4°C;65%;0.9°C;1015.7 hPa;8.0 km/h;14.3 km/h;284° (ONO);7.2 mm;7.2 mm;0.0 mm el 27 a las 23:59;10.8°C el 27 a las 16:11;3.3°C el 27 a las 04:08;86% el 27 a las 04:12;44% el 27 a las 16:21;1018.1 hPa el 27 a las 22:25;1013.5 hPa el 27 a las 06:48;29.6 km/h el 27 a las 10:39;50.0 km/h  del 271°(O) el 27 a las 10:47
28;Enero;2019;8.3°C;62%;1.2°C;1017.0 hPa;8.9 km/h;16.4 km/h;281° (O);7.2 mm;7.2 mm;0.0 mm el 28 a las 23:59;12.8°C el 28 a las 16:59;2.6°C el 28 a las 07:33;79% el 28 a las 09:05;47% el 28 a las 17:05;1018.8 hPa el 28 a las 00:51;1014.4 hPa el 28 a las 16:01;27.8 km/h el 28 a las 02:27;44.4 km/h  del 304°(NO) el 28 a las 02:28
29;Enero;2019;8.0°C;68%;2.5°C;1014.1 hPa;4.4 km/h;10.5 km/h;267° (O);7.2 mm;7.2 mm;0.0 mm el 29 a las 23:59;11.2°C el 29 a las 14:38;4.8°C el 29 a las 08:14;79% el 29 a las 10:20;55% el 29 a las 21:40;1017.9 hPa el 29 a las 00:29;1009.8 hPa el 29 a las 18:23;16.7 km/h el 29 a las 20:26;33.3 km/h  del 309°(NO) el 29 a las 18:38
30;Enero;2019;6.6°C;67%;0.6°C;1011.1 hPa;3.6 km/h;8.9 km/h;264° (O);11.0 mm;11.0 mm;0.2 mm el 30 a las 22:52;10.7°C el 30 a las 15:30;3.6°C el 30 a las 07:51;94% el 30 a las 23:59;39% el 30 a las 14:19;1013.7 hPa el 30 a las 10:37;1006.0 hPa el 30 a las 23:59;18.5 km/h el 30 a las 10:58;31.5 km/h  del 298°(ONO) el 30 a las 10:50
31;Enero;2019;9.5°C;91%;8.0°C;1002.1 hPa;2.8 km/h;9.1 km/h;209° (SSO);12.4 mm;12.4 mm;0.2 mm el 31 a las 22:52;11.9°C el 31 a las 14:45;6.4°C el 31 a las 00:06;99% el 31 a las 05:41;83% el 31 a las 14:46;1006.0 hPa el 31 a las 00:10;996.3 hPa el 31 a las 23:57;13.0 km/h el 31 a las 23:29;35.2 km/h  del 227°(SO) el 31 a las 17:39
1;Febrero;2019;6.3°C;87%;4.3°C;993.6 hPa;3.4 km/h;9.1 km/h;233° (SO);7.0 mm;19.4 mm;0.2 mm el 01 a las 17:37;9.5°C el 01 a las 03:08;3.7°C el 01 a las 19:01;98% el 01 a las 08:36;69% el 01 a las 00:00;997.7 hPa el 01 a las 00:00;991.1 hPa el 01 a las 15:35;14.8 km/h el 01 a las 23:43;33.3 km/h  del 284°(ONO) el 01 a las 23:42
2;Febrero;2019;4.5°C;64%;-1.7°C;1009.7 hPa;12.1 km/h;21.3 km/h;291° (ONO);7.2 mm;19.6 mm;0.2 mm el 02 a las 04:47;7.2°C el 02 a las 14:47;2.2°C el 02 a las 20:38;75% el 02 a las 19:30;53% el 02 a las 14:34;1019.7 hPa el 02 a las 23:59;997.7 hPa el 02 a las 00:04;27.8 km/h el 02 a las 12:50;50.0 km/h  del 284°(ONO) el 02 a las 08:56
3;Febrero;2019;3.7°C;62%;-3.4°C;1025.5 hPa;0.5 km/h;1.8 km/h;291° (ONO);7.2 mm;19.6 mm;0.0 mm el 03 a las 23:59;8.6°C el 03 a las 15:25;-1.7°C el 03 a las 09:13;84% el 03 a las 09:22;38% el 03 a las 15:38;1029.8 hPa el 03 a las 23:59;1019.8 hPa el 03 a las 00:02;11.1 km/h el 03 a las 14:32;27.8 km/h  del 196°(SSO) el 03 a las 01:12
4;Febrero;2019;3.2°C;70%;-2.1°C;1030.3 hPa;0.0 km/h;0.3 km/h;329° (NNO);7.2 mm;19.6 mm;0.0 mm el 04 a las 23:59;11.6°C el 04 a las 15:58;-3.7°C el 04 a las 07:13;90% el 04 a las 08:55;42% el 04 a las 15:51;1031.8 hPa el 04 a las 11:26;1028.8 hPa el 04 a las 17:14;3.7 km/h el 04 a las 17:16;7.4 km/h  del 331°(NNO) el 04 a las 17:23
5;Febrero;2019;6.6°C;71%;1.3°C;1029.6 hPa;0.3 km/h;0.8 km/h;296° (ONO);7.2 mm;19.6 mm;0.0 mm el 05 a las 23:59;15.2°C el 05 a las 15:42;-0.3°C el 05 a las 06:44;92% el 05 a las 05:09;47% el 05 a las 15:49;1031.4 hPa el 05 a las 11:58;1027.5 hPa el 05 a las 18:15;9.3 km/h el 05 a las 15:40;14.8 km/h  del 157°(SSE) el 05 a las 16:54
6;Febrero;2019;7.7°C;75%;3.2°C;1026.0 hPa;0.2 km/h;0.8 km/h;161° (SSE);7.2 mm;19.6 mm;0.0 mm el 06 a las 23:59;15.6°C el 06 a las 15:45;1.2°C el 06 a las 07:28;94% el 06 a las 09:45;52% el 06 a las 16:16;1028.8 hPa el 06 a las 00:00;1023.2 hPa el 06 a las 18:20;7.4 km/h el 06 a las 16:48;18.5 km/h  del 155°(SSE) el 06 a las 17:17
7;Febrero;2019;8.0°C;72%;2.8°C;1023.2 hPa;0.1 km/h;0.4 km/h;173° (S);7.2 mm;19.6 mm;0.0 mm el 07 a las 23:59;15.6°C el 07 a las 15:55;1.1°C el 07 a las 08:55;94% el 07 a las 10:15;41% el 07 a las 15:52;1024.6 hPa el 07 a las 10:15;1021.7 hPa el 07 a las 17:53;5.6 km/h el 07 a las 15:51;11.1 km/h  del 159°(SSE) el 07 a las 15:52
8;Febrero;2019;6.9°C;73%;2.0°C;1022.8 hPa;0.4 km/h;1.5 km/h;180° (S);7.2 mm;19.6 mm;0.0 mm el 08 a las 23:59;14.3°C el 08 a las 15:54;0.4°C el 08 a las 08:14;91% el 08 a las 03:34;45% el 08 a las 17:40;1024.2 hPa el 08 a las 01:02;1020.6 hPa el 08 a las 17:51;13.0 km/h el 08 a las 13:47;20.4 km/h  del 161°(SSE) el 08 a las 15:52
9;Febrero;2019;6.3°C;80%;2.9°C;1022.8 hPa;0.4 km/h;1.6 km/h;162° (SSE);7.2 mm;19.6 mm;0.0 mm el 09 a las 23:59;12.6°C el 09 a las 15:58;0.2°C el 09 a las 08:56;94% el 09 a las 11:33;56% el 09 a las 15:47;1024.6 hPa el 09 a las 12:17;1021.3 hPa el 09 a las 18:03;7.4 km/h el 09 a las 23:44;18.5 km/h  del 161°(SSE) el 09 a las 23:33
10;Febrero;2019;7.7°C;88%;5.8°C;1022.4 hPa;1.7 km/h;5.5 km/h;195° (SSO);7.2 mm;19.6 mm;0.0 mm el 10 a las 23:59;11.7°C el 10 a las 15:17;3.9°C el 10 a las 06:11;94% el 10 a las 10:06;77% el 10 a las 15:28;1023.7 hPa el 10 a las 23:53;1021.3 hPa el 10 a las 05:11;9.3 km/h el 10 a las 13:56;25.9 km/h  del 223°(SO) el 10 a las 12:51
11;Febrero;2019;8.8°C;65%;2.1°C;1027.1 hPa;0.6 km/h;2.5 km/h;323° (NO);7.2 mm;19.6 mm;0.0 mm el 11 a las 23:59;13.9°C el 11 a las 15:52;3.1°C el 11 a las 08:58;94% el 11 a las 00:37;36% el 11 a las 16:43;1030.9 hPa el 11 a las 23:59;1023.6 hPa el 11 a las 00:00;7.4 km/h el 11 a las 04:54;20.4 km/h  del 262°(O) el 11 a las 03:28
